Year,Round,LapNumber,Leader,Chaser,Chaser_SpeedFL,Chaser_ThrottleAvg,Chaser_BrakeAvg,Leader_SpeedFL,Leader_ThrottleAvg,Leader_BrakeAvg
2022,1,31.0,LEC,SAI,195.0427804331246,65.88715076033257,0.20536912751677852,189.27262716281214,65.36617131672459,0.23237597911227154
2022,1,44.0,LEC,SAI,192.29727789413582,65.31632493898613,0.2192866578599736,198.62786919014667,69.2069290565868,0.21351351351351353
2022,1,54.0,LEC,SAI,200.60910606189486,67.13400722872022,0.21182943603851445,203.6660717326183,71.03717801431642,0.1941747572815534
2022,1,55.0,LEC,SAI,201.35366810765234,69.61459808374913,0.18218623481781376,202.0674831466212,69.97842608264014,0.19398907103825136
2022,1,56.0,LEC,SAI,201.2955089090683,68.86273558668526,0.1821917808219178,200.39142838124968,70.57252175934589,0.18442622950819673
2022,1,1.0,LEC,VER,183.68190051911043,61.87206089741605,0.23490813648293962,185.1165441974327,66.41209692285447,0.22074468085106383
2022,1,2.0,LEC,VER,196.48347929008116,64.1130560137832,0.20600272851296045,197.521807202104,68.94777719468541,0.18392370572207084
2022,1,3.0,LEC,VER,196.12488941859982,64.08884296448224,0.21161290322580645,197.3738499836739,68.86516936905998,0.19767441860465115
2022,1,4.0,LEC,VER,195.54084046213572,62.74758647907529,0.21997300944669365,195.1494539000496,67.12176895978747,0.21052631578947367
2022,1,5.0,LEC,VER,196.696462280663,62.39749173790954,0.22117962466487937,196.15990891964572,67.17785406908209,0.2183288409703504
2022,1,6.0,LEC,VER,195.14691086776224,61.50629196051899,0.20451527224435592,195.63080106748907,66.93298581663483,0.21866666666666668
2022,1,7.0,LEC,VER,193.89877646129057,61.6952778332703,0.20481927710843373,194.60975620350757,65.3564763018499,0.20241286863270777
2022,1,8.0,LEC,VER,194.63556406250856,62.133018167243954,0.21657754010695188,194.39537275947944,67.87476152389459,0.21524064171122995
2022,1,9.0,LEC,VER,194.45012453043765,61.11249122571174,0.21287779237844942,195.0428987180028,67.63718444572903,0.22207621550591328
2022,1,10.0,LEC,VER,192.7296665072016,59.46095491162214,0.21739130434782608,191.37161543469884,65.05476029754276,0.20467032967032966
2022,1,11.0,LEC,VER,192.85717047646995,61.07176968178335,0.19337748344370861,193.3989427063592,65.57694162584521,0.21372031662269128
2022,1,12.0,LEC,VER,194.3798339477,62.45506804745418,0.19972826086956522,194.39399264024468,66.38314561731397,0.2098092643051771
2022,1,13.0,LEC,VER,193.05253499156296,61.64573148213285,0.20367936925098554,193.18304201538518,67.10614531067321,0.21031746031746032
2022,1,14.0,LEC,VER,188.52433954176786,59.328034961974595,0.23657289002557544,193.65339557251352,67.47538988287121,0.20287958115183247
2022,1,16.0,LEC,VER,200.35112811413933,65.81013423423187,0.21418826739427013,165.61647883290667,66.43519920557435,0.21885521885521886
2022,1,17.0,LEC,VER,198.62000192210746,65.12522344336693,0.22130013831258644,199.91750319943895,71.26054402816779,0.203601108033241
2022,1,18.0,LEC,VER,196.4290381582772,63.39848312500796,0.23746701846965698,196.86013222445953,70.07296196717706,0.21447368421052632
2022,1,19.0,LEC,VER,195.96023734982697,63.566613801716215,0.2162883845126836,197.55029755956244,72.310411110634,0.18926174496644296
2022,1,20.0,LEC,VER,196.13343847365576,61.281330054698415,0.2074468085106383,197.34815170798518,67.68931395971329,0.2018842530282638
2022,1,21.0,LEC,VER,194.33610227304555,60.3506330516019,0.19268635724331926,197.60146077856223,68.0984368511096,0.2039381153305204
2022,1,22.0,LEC,VER,195.57420484922073,60.94667059561231,0.2108843537414966,196.6609300567451,68.23341486747765,0.19753086419753085
2022,1,23.0,LEC,VER,196.96076377942416,62.48271944341506,0.20470262793914246,196.76756065528085,67.51017300439112,0.21081830790568654
2022,1,24.0,LEC,VER,197.71422156863636,62.854195231494806,0.21908602150537634,197.62845324878575,66.76231222320756,0.20053835800807537
2022,1,25.0,LEC,VER,196.3341243856336,63.3830931988092,0.20192307692307693,197.02943070650178,66.20679170606006,0.20907840440165062
2022,1,26.0,LEC,VER,194.3228529763241,61.7851234484449,0.19812583668005354,196.46412177715325,68.90571694177245,0.19812583668005354
2022,1,27.0,LEC,VER,195.1622266473423,61.765590120049225,0.20052424639580602,194.78433005518548,66.78741542595169,0.22631578947368422
2022,1,28.0,LEC,VER,194.86546218859291,62.47629474799627,0.1991701244813278,196.27635537094244,67.963853526259,0.21023513139695713
2022,1,29.0,LEC,VER,193.71242338655043,61.52970231543067,0.21796565389696168,193.38151044013048,67.4796894248995,0.20927152317880796
2022,1,30.0,LEC,VER,186.78269708593282,59.080513084241176,0.22295514511873352,193.6065015677212,66.22760316016408,0.20295698924731181
2022,1,34.0,LEC,VER,198.48611176082372,65.06609111672671,0.20665742024965325,200.73769498956483,69.16503199621478,0.217753120665742
2022,1,35.0,LEC,VER,201.45400059100382,64.22202657364161,0.19642857142857142,201.1900972658788,68.23090839515626,0.21349862258953167
2022,1,36.0,LEC,VER,198.1022739126655,63.00296017957943,0.2339572192513369,198.941206801118,67.79026853288835,0.21171770972037285
2022,1,37.0,LEC,VER,200.3043426175896,64.58471495751759,0.2024793388429752,200.82630512069454,67.81821214026134,0.2086230876216968
2022,1,38.0,LEC,VER,198.1665161538629,63.75774630750227,0.20833333333333334,200.92724068817336,69.80373546521265,0.1975806451612903
2022,1,39.0,LEC,VER,198.2276892601837,63.365811335688406,0.20383036935704515,199.17658962354673,67.72266375309076,0.2013793103448276
2022,1,40.0,LEC,VER,197.21046517215106,62.876181763012475,0.21087533156498675,199.50522451719286,67.98795356929493,0.19946808510638298
